,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5157717704772949,0.018176914142026355,0.0022069931030273436,0.0004006914420827772,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5631868131868132,0.5576923076923077,0.5879120879120879,0.5137362637362637,0.554945054945055,0.5554945054945055,0.023912148513174688,143,0.5913461538461539,0.5618131868131868,0.5927197802197802,0.5693681318681318,0.5666208791208791,0.5763736263736263,0.01301977539678329
1,0.4950589179992676,0.037270073814853984,0.002206277847290039,0.00040092502289094283,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.5741758241758241,0.5659340659340659,0.5,0.5192307692307693,0.5318681318681319,0.03206645376135135,211,0.5,0.573489010989011,0.5831043956043956,0.5006868131868132,0.5089285714285714,0.5332417582417582,0.03704617105722544
2,0.6352901935577393,0.07016617204926623,0.0022057056427001952,0.0004006152031554188,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6263736263736264,0.5,0.5,0.5879120879120879,0.5961538461538461,0.5620879120879121,0.05228737254228712,122,0.5899725274725275,0.5,0.5,0.6098901098901099,0.6009615384615384,0.5601648351648352,0.04952794614743664
3,0.7300134181976319,0.046758622443936707,0.0026083946228027343,0.000492694185221164,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.532967032967033,0.5659340659340659,0.5989010989010989,0.554945054945055,0.5879120879120879,0.5681318681318681,0.023466106048420463,86,0.5590659340659341,0.5693681318681318,0.5989010989010989,0.6112637362637363,0.6050824175824175,0.5887362637362636,0.02065652745634571
4,0.7757613658905029,0.04641903900126335,0.002004861831665039,8.529922399520072e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.5247252747252747,0.5164835164835165,0.5934065934065934,0.5631868131868132,0.5192307692307693,0.5434065934065934,0.03016478512375999,181,0.5604395604395604,0.529532967032967,0.5583791208791209,0.6229395604395604,0.5364010989010989,0.5615384615384615,0.0329773335556196
5,0.8977495193481445,0.05120319689240183,0.0022077083587646483,0.000399278545902165,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.5027472527472527,0.5027472527472527,0.4945054945054945,0.5604395604395604,0.6016483516483516,0.5324175824175824,0.0418953792103478,210,0.5027472527472527,0.5192307692307693,0.49244505494505497,0.6050824175824175,0.6126373626373627,0.5464285714285715,0.051741425956430984
6,0.9940174102783204,0.05264008268008028,0.0024079799652099608,0.0004933328156502599,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",0.5989010989010989,0.5989010989010989,0.5906593406593407,0.5631868131868132,0.5851648351648352,0.5873626373626374,0.013163899506275752,16,0.5975274725274725,0.5982142857142857,0.6009615384615384,0.5824175824175825,0.6071428571428571,0.5972527472527472,0.008156611450166742
7,1.023040246963501,0.05000267615196689,0.0026065349578857423,0.0004909721237185414,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",0.5164835164835165,0.5,0.5851648351648352,0.5164835164835165,0.5906593406593407,0.5417582417582417,0.03820163361707405,185,0.5686813186813187,0.4993131868131868,0.6105769230769231,0.5686813186813187,0.5803571428571429,0.565521978021978,0.03647902709701417
8,1.2292183876037597,0.03632858420515827,0.002206230163574219,0.00040166390404229764,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.6016483516483516,0.6153846153846154,0.5961538461538461,0.5412087912087912,0.5796703296703297,0.5868131868131868,0.025512498387349244,17,0.6201923076923077,0.6195054945054945,0.6112637362637363,0.6092032967032966,0.5741758241758241,0.6068681318681319,0.016916252013258328
9,1.2298087120056151,0.049677929830980315,0.0026073455810546875,0.0004913419715658991,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.5741758241758241,0.6043956043956044,0.5357142857142857,0.5521978021978022,0.5686813186813187,0.567032967032967,0.0230245349887439,96,0.5968406593406593,0.595467032967033,0.5453296703296703,0.6332417582417582,0.5721153846153846,0.5885989010989011,0.02916167058031655
10,1.4358288764953613,0.03508467969364287,0.002807950973510742,0.0004014255704990801,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.5741758241758241,0.5906593406593407,0.5741758241758241,0.5576923076923077,0.6181318681318682,0.582967032967033,0.020440742019492624,23,0.6146978021978022,0.6284340659340659,0.5906593406593407,0.6366758241758241,0.6256868131868132,0.6192307692307691,0.015922219924002293
